Name,R.A.,Dec.,16cm,4cm,15mm,7mm,3mm
J2147-5526,21:47:45,-55:26:24,0.421,0.278,0.139,0.078,0.083
2145+067,21:48:05,06:57:39,2.998,2.769,4.357,3.803,4.235
2146-133,21:49:29,-13:04:25,0.427,0.433,0.087,0.024,0.014
2147+077,21:49:35,07:56:25,0.61,0.405,0.213,0.184,0.2
J2150-6802,21:50:13,-68:02:50,0.238,0.279,0.229,0.178,0.06
J2151-6409,21:51:01,-64:09:08,0.107,0.078,0.046,0.117,0.112
2149+069,21:51:31,07:09:27,1.06,1.285,0.902,0.772,0.379
2149+056,21:51:38,05:52:13,0.869,0.792,0.35,0.247,0.171
2149-306,21:51:56,-30:27:54,1.939,1.823,1.028,0.836,2.367
2146-783,21:52:03,-78:07:07,0.769,0.828,0.299,0.119,0.013
2149-287,21:52:04,-28:28:28,2.2,1.177,0.438,0.181,0.157
2152+226,21:55:06,22:50:22,,0.3,0.209,,
2152-699,21:57:06,-69:41:24,,0.668,0.886,0.665,0.722
J2157-7549,21:57:59,-75:49:54,0.541,0.612,0.471,0.347,0.506
2155-152,21:58:06,-15:01:09,4.709,5.813,5.406,3.201,2.134
J2158-4719,21:58:40,-47:19:27,0.244,0.232,0.132,0.063,0.019
2155-304,21:58:52,-30:13:32,0.244,0.268,0.229,0.206,
J2200-5520,22:00:55,-55:20:08,0.243,0.215,0.231,0.154,0.45
2158+029,22:01:28,03:12:15,0.251,0.199,0.239,0.162,0.021
J2202-8338,22:02:19,-83:38:12,0.795,0.85,0.536,0.414,0.349
J2203-6130,22:04:00,-61:30:22,0.44,0.456,0.344,0.192,0.258
J2205-8653,22:05:46,-86:53:48,0.292,0.301,0.247,0.176,0.096
2203-188,22:06:10,-18:35:39,,4.269,2.203,1.288,0.709
J2206-7735,22:06:44,-77:35:24,0.231,0.224,0.151,0.034,0.084
2204-540,22:07:44,-53:46:34,,1.205,1.04,0.989,
J2207-5707,22:07:54,-57:07:37,0.306,0.174,0.053,0.03,0.014
2205-636,22:08:47,-63:25:47,0.953,0.595,0.302,0.167,0.228
2209+236,22:12:06,23:55:41,,,0.688,,
2210+016,22:12:38,01:52:51,,1.122,0.351,0.16,0.014
2210+065,22:12:51,06:46:09,,0.402,0.27,,0.458
2210-257,22:13:02,-25:29:30,0.918,0.73,0.776,0.297,0.353
J2213-6330,22:13:35,-63:30:02,0.339,0.299,0.203,0.133,0.086
2211+069,22:14:09,07:11:42,,0.266,0.344,,0.107
2211-388,22:14:39,-38:35:45,1.444,0.855,0.408,0.205,0.13
J2215-6609,22:15:45,-66:09:14,0.516,0.285,0.115,0.093,0.056
2213-456,22:16:56,-45:21:42,1.394,0.575,0.157,0.062,0.013
J2217-7044,22:17:47,-70:44:53,0.322,0.382,0.311,0.231,0.112
2215+020,22:17:48,02:20:11,,0.355,0.246,0.289,0.012
2215-508,22:18:19,-50:38:42,1.009,0.536,0.156,0.072,
2216-038,22:18:52,-03:35:37,,1.851,2.667,0.997,0.816
2216-281,22:19:41,-27:56:27,1.39,0.457,0.09,0.003,0
2223-052,22:25:47,-04:57:01,6.51,4.747,3.326,1.692,1.929
2224+006,22:26:47,00:52:11,,0.49,0.67,0.526,0.363
J2227-5219,22:27:08,-52:19:51,0.191,0.235,0.146,0.091,
J2229-6910,22:29:00,-69:10:30,0.718,0.749,0.702,0.555,
2226-411,22:29:19,-40:51:32,2.036,0.917,0.285,0.071,0.012
2227-088,22:29:40,-08:32:54,,2.583,2.987,2.785,2.668
2226-386,22:29:47,-38:24:00,1.207,0.336,0.046,0.02,0.001
2227+009,22:29:52,01:14:57,,0.202,0.186,0.108,0.026
J2230-6310,22:30:10,-63:10:43,0.132,0.119,0.086,0.074,
2227-399,22:30:40,-39:42:52,0.217,0.407,0.758,0.781,0.357
J2230-4416,22:30:56,-44:16:30,0.412,0.415,0.515,0.318,0.299
J2231-6231,22:31:08,-62:31:19,0.316,0.342,0.289,0.179,
2230+114,22:32:36,11:43:51,5.996,4.718,4.138,,
2232-488,22:35:13,-48:35:59,0.704,0.799,0.843,0.6,1.114
2233-148,22:36:34,-14:33:22,,0.601,0.51,0.482,1.565
J2239-5525,22:39:06,-55:25:59,0.196,0.197,0.16,0.112,
J2239-5701,22:39:12,-57:01:01,,,,,0.48
2239+096,22:41:50,09:53:52,0.301,0.651,0.303,,0.295
2240-260,22:43:26,-25:44:31,0.832,0.667,0.591,0.363,0.381
J2243-5656,22:43:53,-56:56:20,0.207,0.157,0.111,0.081,
2242+031,22:45:28,03:24:09,,0.422,0.244,0.136,0.088
2243+047,22:45:54,05:00:57,,0.216,0.341,,0.105
J2246-5607,22:46:17,-56:07:46,0.326,0.41,0.521,0.379,
2243-123,22:46:18,-12:06:51,2.116,1.746,1.749,1.277,1.856
2244-372,22:47:04,-36:57:46,1.043,0.792,0.613,0.41,0.343
2245+029,22:47:59,03:10:42,,0.709,0.447,,0.215
2245-328,22:48:39,-32:35:52,1.227,1.986,1.617,1.051,1.044
2251+158,22:53:58,16:08:54,13.096,15.879,21.703,33.605,13.747
2251+006,22:54:04,00:54:21,0.525,0.543,0.42,0.373,0.245
J2254-5926,22:54:57,-59:26:01,0.262,0.335,0.291,0.194,
2252-089,22:55:04,-08:44:04,0.579,0.401,0.457,0.231,0.231
2253-278,22:56:00,-27:35:56,,0.263,0.273,0.202,
J2256-6533,22:56:25,-65:33:26,0.257,0.2,0.099,0.074,
2254-367,22:57:11,-36:27:44,1.229,1.055,0.579,0.341,0.211
2254+074,22:57:17,07:43:12,,0.963,0.354,,0.457
2254+024,22:57:18,02:43:18,0.245,0.166,0.267,0.262,0.148
2255-282,22:58:06,-27:58:21,2.353,4.085,4.436,4.756,5.557
J2258-7014,22:58:32,-70:14:40,0.21,0.379,0.154,0.09,
2258+033,23:00:41,03:37:11,0.636,0.335,0.202,0.13,0.136
2259+058,23:01:53,06:09:13,,0.343,0.239,,0.101
2259-375,23:02:24,-37:18:07,2.028,0.878,0.31,0.128,0.02
J2302-4533,23:02:40,-45:33:58,0.467,0.218,0.199,0.106,0.128
2300-307,23:03:06,-30:30:11,0.311,0.2,0.089,0.087,0.036
J2303-5406,23:03:52,-54:06:46,0.172,0.192,0.163,0.131,
2301+060,23:04:28,06:20:08,,0.278,0.19,,0.181
J2306-6521,23:06:59,-65:21:32,0.388,0.348,0.106,0.056,
2305-418,23:07:54,-41:32:43,1.093,0.232,0.029,0.011,0.013
2306+095,23:08:44,09:46:26,,0.277,0.231,,0.203
J2308-4557,23:08:53,-45:57:56,0.118,0.193,0.26,0.209,0.261
2309+090,23:12:28,09:19:29,,0.475,0.141,,0.007
2310-417,23:12:56,-41:26:56,1.192,0.553,0.178,0.062,0.012
J2312-6607,23:12:59,-66:07:32,0.119,0.14,0.155,0.121,
2311-477,23:13:52,-47:29:12,0.918,0.588,0.22,0.134,0.017
2311-452,23:14:09,-44:55:49,1.997,1.262,0.558,0.257,0.147
2312-319,23:14:49,-31:38:40,0.593,0.531,0.575,0.384,0.221
J2315-5018,23:15:44,-50:18:40,0.295,0.574,0.894,0.762,0.437
2313-438,23:16:21,-43:37:47,0.915,0.605,0.333,0.193,0.15
2314+038,23:16:35,04:05:18,1.05,0.871,0.212,0.073,0.036
2314-340,23:16:43,-33:49:12,0.571,0.484,0.079,0.013,0.004
2318+049,23:20:45,05:13:50,0.854,0.934,0.698,0.841,0.794
2318-166,23:21:02,-16:23:05,1.515,0.53,0.13,0.06,0.025
2320+079,23:22:36,08:12:02,0.895,0.574,0.38,,0.105
2320-035,23:23:32,-03:17:05,1.11,1.283,1.185,1.038,0.798
2321-375,23:24:07,-37:14:22,0.576,0.966,1.089,0.7,0.629
2322-411,23:25:03,-40:51:30,1.351,0.674,0.24,0.112,0.039
2322-123,23:25:20,-12:07:27,1.119,0.311,0.07,0.045,0.022
J2325-4800,23:25:27,-48:00:17,0.243,0.28,0.243,0.207,0.193
2323+009,23:26:26,01:12:09,0.198,0.263,0.198,0.096,0.229
2323-407,23:26:34,-40:27:18,2.481,0.948,0.224,0.018,0.003
2325+093,23:27:34,09:40:09,0.413,0.813,0.656,0.743,0.859
J2327-4510,23:27:41,-45:10:56,0.272,0.232,0.198,0.142,0.155
J2327-6644,23:27:45,-66:44:42,0.276,0.22,0.203,0.139,
2325-150,23:27:48,-14:47:56,,0.72,0.442,0.287,0.244
J2328-4035,23:28:19,-40:35:10,0.093,0.354,0.368,0.269,0.706
2326+082,23:29:06,08:34:16,0.074,0.254,0.281,,0.225
2326-477,23:29:18,-47:30:19,3.07,2.81,2.375,1.81,1.09
2326-502,23:29:21,-49:55:41,0.546,0.605,0.509,0.369,
2327-459,23:30:38,-45:39:58,0.924,0.509,0.225,0.136,0.135
2328+107,23:30:41,11:00:19,,,0.954,,
2329-162,23:31:39,-15:56:57,,1.333,0.916,0.621,0.824
2329-384,23:31:59,-38:11:48,0.764,0.701,0.428,0.224,0.111
2330+083,23:32:58,08:38:10,0.401,0.344,0.376,,0.209
2331-240,23:33:55,-23:43:41,,1.425,1.12,2.154,2.372
2331+073,23:34:13,07:36:28,0.686,1.002,1.013,0.853,1.072
J2334-5251,23:34:45,-52:51:20,0.669,0.605,0.37,0.209,
2333-528,23:36:12,-52:36:22,2.197,1.874,1.21,0.775,0.297
2333-415,23:36:34,-41:15:22,,0.627,0.699,0.565,
J2337-5216,23:37:23,-52:16:20,0.604,0.458,0.221,0.114,
J2337-5901,23:37:27,-59:01:14,0.1,0.151,0.159,0.093,
2335-027,23:37:57,-02:30:58,0.617,0.415,0.611,0.601,0.866
2337-334,23:39:55,-33:10:17,1.117,0.831,0.446,0.246,0.16
2338+000,23:41:07,00:18:33,0.346,0.245,0.144,0.093,0.079
2339-353,23:41:46,-35:06:22,1.286,0.438,0.104,0.002,0.004
J2343-7038,23:43:22,-70:38:40,0.141,0.128,0.093,0.077,
J2343-5626,23:43:27,-56:26:24,0.132,0.127,0.096,0.05,
J2345-1555,23:45:12,-15:55:07,,0.634,1.235,1.42,
2344+092,23:46:37,09:30:46,1.586,1.365,1.096,0.977,0.183
2344+068,23:46:40,07:05:07,0.215,0.208,0.165,,0.198
J2347-4946,23:47:44,-49:46:28,0.319,0.671,0.694,0.486,
2345-167,23:48:03,-16:31:12,2.121,2.305,1.571,1.67,3.105
2346+052,23:49:21,05:34:40,0.344,0.392,0.264,,0.25
J2349-4932,23:49:25,-49:32:27,0.284,0.315,0.309,0.22,
2351-154,23:54:30,-15:13:11,0.905,0.943,0.875,0.626,0.429
2353-686,23:56:01,-68:20:03,1.252,1.557,1.049,0.583,0.245
J2357-4838,23:57:21,-48:38:18,0.168,0.201,0.154,0.112,0.204
2354-117,23:57:31,-11:25:39,1.718,1.599,0.999,0.639,0.356
2355-534,23:57:53,-53:11:14,1.849,1.957,1.506,1.162,1.496
J2358-4555,23:58:02,-45:55:19,0.303,0.398,0.39,0.424,0.254
2355-106,23:58:11,-10:20:09,0.911,1.145,0.742,0.941,0.776
2357-318,23:59:35,-31:33:44,0.617,0.62,0.418,0.281,0.292
