Name,R.A.,Dec.,16cm,4cm,15mm,7mm,3mm
0346-279,03:48:38,-27:49:14,1.212,1.528,1.728,1.514,0.563
J0351-5142,03:51:28,-51:42:55,0.425,0.356,0.329,,0.263
0355-669,03:55:48,-66:45:34,0.805,0.557,0.776,0.599,0.134
0355-483,03:57:22,-48:12:15,0.377,0.438,0.275,0.091,0.028
J0357-4625,03:57:29,-46:25:43,0.215,0.27,0.3,,0.043
0357+057,04:00:12,05:50:43,0.218,0.214,0.246,0.18,0.04
0358+040,04:01:20,04:13:34,0.147,0.227,0.662,0.557,0.626
0400-319,04:02:21,-31:47:26,0.739,0.687,0.562,0.499,0.313
0402-362,04:03:54,-36:05:02,1.765,3.726,7.581,7.823,1.55
0403-132,04:05:34,-13:08:14,3.302,2.676,2.102,1.303,0.555
0403+064,04:06:34,06:37:15,0.229,0.37,0.44,0.41,0.205
0405-385,04:06:59,-38:26:28,1.552,2.083,2.144,1.761,0.464
0407+075,04:07:29,07:42:08,0.475,0.559,0.727,0.7,0.449
0405-331,04:07:34,-33:03:46,0.581,0.695,0.521,0.372,0.178
0405-123,04:07:48,-12:11:37,,1.173,0.755,,
0407-658,04:08:20,-65:45:09,9.631,2.72,0.522,0.145,0.02
0406-127,04:09:06,-12:38:48,0.2,0.309,0.176,0.119,0.034
0406-180,04:09:07,-17:57:10,1.615,0.745,0.316,0.146,0.031
0406+065,04:09:26,06:40:35,0.103,0.097,0.083,0.099,0.034
0408+085,04:11:34,08:43:11,0.079,0.117,0.144,0.079,0.065
0409+000,04:12:33,00:10:48,0.193,0.169,0.196,0.152,0.055
J0412-8335,04:12:40,-83:35:21,0.202,0.221,0.247,0.028,0.161
J0412-4604,04:12:50,-46:04:50,0.339,0.346,0.244,0.064,0.146
0411-346,04:13:01,-34:30:10,0.806,0.37,0.042,0.029,0.165
J0415-4737,04:15:54,-47:37:35,0.201,0.258,0.283,0.224,0.186
J0415-4637,04:15:59,-46:37:49,0.411,0.378,0.23,0.132,0.029
0413-210,04:16:04,-20:56:28,1.758,0.659,0.651,0.489,0.195
0414-341,04:16:10,-34:03:04,0.608,0.383,0.161,0.09,0.158
0414-189,04:16:37,-18:51:08,0.988,0.786,0.334,0.214,0.281
0420-625,04:20:56,-62:23:39,2.241,0.817,0.214,0.069,0.019
0420+022,04:22:52,02:19:27,1.377,1.267,0.581,0.315,0.706
0420-014,04:23:16,-01:20:33,2.4,5.176,8.43,6.764,1.952
0421+019,04:24:09,02:04:25,0.913,0.653,0.34,0.164,0.016
0422-380,04:24:42,-37:56:21,0.557,1.398,0.836,0.598,0.742
0422+004,04:24:47,00:36:06,0.296,0.566,0.196,0.137,0.287
J0425-5331,04:25:04,-53:31:58,0.178,0.168,0.132,0.101,0.149
J0425-6646,04:25:07,-66:46:50,0.254,0.275,0.148,0.075,0.058
0423+051,04:26:37,05:18:20,0.63,0.535,0.455,0.41,0.276
J0427-3900,04:27:22,-39:01:00,,0.29,,,
0425+048,04:27:48,04:57:08,0.329,0.303,0.344,0.286,0.33
0426-380,04:28:40,-37:56:20,1.137,3.593,4.527,3.511,2.499
J0428-5005,04:28:43,-50:05:34,0.346,0.339,0.366,0.212,0.144
0427-345,04:29:47,-34:26:42,0.345,0.108,0.019,0.009,0.118
J0430-6132,04:30:22,-61:32:01,0.193,0.216,0.159,0.107,0.133
J0431-6406,04:31:28,-64:06:31,0.393,0.436,0.266,0.141,0.008
0430+052,04:33:11,05:21:16,2.608,2.548,3.007,2.859,1.782
J0433-6030,04:33:34,-60:30:14,0.419,0.454,0.875,0.643,0.382
J0434-4355,04:34:03,-43:55:48,0.367,0.287,0.248,0.077,0.006
0434-188,04:37:01,-18:44:49,0.999,0.824,0.587,0.277,0.044
0437-454,04:39:01,-45:22:23,0.576,1.402,1.271,0.848,0.665
0438-436,04:40:17,-43:33:09,3.525,4.168,7.201,6.318,0.249
J0440-6952,04:40:48,-69:52:18,0.206,0.234,0.307,0.202,0.236
0439-337,04:41:34,-33:40:04,1.093,0.678,0.282,0.136,0.055
J0441-5154,04:41:58,-51:54:54,0.461,0.517,0.436,0.297,0.242
0440-003,04:42:39,-00:17:43,2.336,1.701,1.238,1.056,0.43
